,birth,death,gender,hair,height,name,race,realm,spouse,biography,history
546,"about ,FA 430",FA 495,Male,,,Sador,Men,,None known,"Sador was one of the Drúedain who lived within the household of Húrin.[6] He became a woodman in his youth and learned how to carve and craft things out of wood. When the Dagor Bragollach broke out in the year 455, Sador was called upon from his tasks in the woods to fight. He came too late to the battle field however, only being able to bring back his fallen lord Hador on a bier. Afterwards, Sador become a soldier, thus being stationed at Eithel Sirion for many years with little to mark them. He was there in the year 462 defending Barad Eithel, when Galdor fell and Húrin took up his command, leading them to drive the Orcs back, never coming within sight of Eithel Sirion again. Sometime later, Sador grew tired of war, and obtained leave to return to the woods that he yearned for, becoming a woodman again. Yet tragedy struck when, by ill-luck, he mishandled his axe and accidentally severed his right foot, after which, Sador obtained a crutch and his footless leg had shrunken from a lack of use.[7]
In the years that followed, Sador became a retainer[2] and ""house-man in the service of Húrin"", working in the outbuildings and fixing things, usually of little importance, that were needed in the house, as he still ""had some skill in the working of wood"". During his time within Húrin's household, Sador was befriended by young Túrin, the eldest of the children of Húrin, who would often help Sador by fetching materials and tools to spare him from walking. Sometimes Túrin would bring gifts for him to use that he ""found"" lying around unwatched. As a result, Sador would smile and tell the boy to return them to their proper place, and taught him that he should ""Give with a free hand, but give only your own"". Despite this, Sador often rewarded Túrin's kindness, carving for him the figures of men and beasts, although it was Sador's tales that Túrin delighted the most.[7]
Sador was wise when sharing his tales with Túrin, incorporating many insights about life. When telling Túrin of his time as a soldier, he believed that he could have gotten his injury with more honor during the Dagor Bragollach, and remembered how fiery Húrin was at Eithel Sirion. He then reflected to Túrin that ""a man that flies from his fear may find that he has only taken a short cut to meet it"", as he had fled war only to get an injury during an accident. Túrin often called him Labadal in pity for his accident. As Túrin grew older, however, Sador began to find many of his questions difficult to answer. One such instance occurred after Urwen died from the Evil Breath when Túrin asked him about fate, the difference between Elves and Men, and the nature of death.[7]
On Túrin's eighth birthday in the month of Gwaeron according to the Edain reckoning, Húrin gave him an Elven knife of great worth.[7] Túrin pitied Sador and decided to give the gift to him.[7] Sador accepted the gift as it would be rude not to, but he knew he would be unable to repay Túrin for such a gift.[7] Túrin's mother, Morwen, was not fond of Sador and did not care for him, believing him to be ""self-maimed by his own want of skill"" and ""slow with his tasks"" as well as spending too ""much time on trifles unbidden"". Despite this, however, Túrin noted that his act of generosity resulted in Sador being treated more kindly. Around this time Sador set out to carve a great chair for the hall of Húrin.[8] He was possibly given this task by Húrin instead of choosing to do so of his own accord.[citation needed]
Before the Nírnaeth Arnoediad, Húrin left to go to war in the month of Lothron.[8] Sador was among ""a few old men and women"" who Morwen still kept as servants, and therefore was not one of the thralls Brodda forced to build his his wooden hall. Sador did not fight in the Battle of Unnumbered Tears, though he wished that he did and was dismayed that he could not do so, and ""die a valiant death""[citation needed].[9] When Morwen first told Túrin that he was to go to Doriath, he hoped that Sador could go with him, only for Morwen to say he wouldn’t because it would be ""a hard road"" for him. The next morning, Túrin found Sador preparing to use the unfinished great chair of Húrin as firewood and tried to convince him that Húrin would return and be pleased with the chair. However, Sador explained that ""false hopes"" would not keep them warm in the coming winter. He nonetheless added that the true purpose of the chair was the joy of making it. Sador then talked with him about the necessity of his departure. Túrin was sad but understood. Sador also urged him to take back the Elven knife. Túrin refused, saying that he would get many things like it in Doriath.[10]
Sador stayed in the house of Morwen for a long while, but soon after Morwen and Niënor left to go to Doriath, he became a vagabond to avoid being enslaved by the Easterlings like the rest of the Men of Dor-lómin. Nonetheless, he was often given broth and a place by the fire in Brodda's hall because Aerin somehow forced Brodda to keep ""some of the kindlier manners of old"". Sador was among the vagabonds and servants who believed that Túrin had become ""a king or a lord in some south country"" and had summoned Morwen and Niënor from Dor-lómin.[9]
In the year 496 during the Fell Winter,[11] Sador was resting by the fire in Brodda's hall when a grief-stricken vagabond came to the hall and ""was given a seat by the fire"" and some broth before asking for news of Morwen, shocking Sador and the others by speaking ""the old tongue"". Sador warned him to speak quieter, deducing that he was of the House of Hador. He then revealed all he knew about Morwen, revealed his name, and reminisced on the years before the Nírnaeth Arnoediad. Upon learning that the other man was Túrin, Sador took him outside the hall and learned that he did not summon Morwen and Niënor. After Sador told him that Aerin might know of Morwen's whereabouts, Túrin re-entered the hall and received answers from Aerin. However, after realizing Glaurung's trickery in sending him there, he killed Brodda and three weaponless Easterlings, instigating a rebellion in the hall. Sador partook in this uprising, but was fatally wounded in the ""great fighting"" that followed. He was, however, able to say his final words to Túrin before perishing, warning him to flee before the Easterlings return with reinforcements.[9]",
547,Fourth Age,,Male,,,Saelon,Men,,,,
548,,,Male,,,Sagroth,Men,,,"Sagroth was under the command of Hardang the Halbar.
He encountered Húrin at the Haudh-en-Elleth during the time of Húrin's wanderings.[1]",
549,TA 2920,FO 50,Male,,,Ted Sandyman,Hobbits,,,"One evening in early April of 3018, Ted Sandyman was at The Green Dragon Inn with Sam Gamgee, the gardener at Bag End. Sam talked about strange things that had been happening in the Shire, including a Tree-man that his cousin Halfast Gamgee claimed to have seen walking on the North Moors. Ted Sandyman scoffed at Sam's tales, calling them children's stories. Neither was Ted interested in the news that the Elves were leaving Middle-earth. He questioned the reliability of Sam's sources of information - Bilbo and Frodo Baggins - saying: ""Oh, they're both cracked. Leastways old Bilbo was cracked, and Frodo's cracking.""[1]
When Sam looked at the Mirror of Galadriel, he saw a vision of Ted cutting down trees at the avenue beyond the mill, that shades the road to Bywater. Sam was enraged, wishing he could get at Ted. Sam suspected that there was some devilry at work in the Shire, and exclaimed that he had to go home, but Galadriel said he could not go home alone, and should not blindly trust what he saw in the mirror. Sam reluctantly accepted that, but said ""If what I've seen turn out true, somebody's going to catch it hot!"". The vision Sam saw indeed came true, as revealed in ""Scouring of the Shire"".[2]
After Frodo and Sam left the Shire in September of 3018, Lotho Sackville-Baggins bought the Old Mill and tore it down. He replaced it with an ugly brick building that straddled the river and was full of wheels and strange contraptions to increase production. The next year in September of 3019, Saruman took over operation of the Mill and it was used for some industrial purpose that created noise and pollution.
Ted Sandyman was pleased by these developments and he continued to work in the New Mill. He took orders from the Chief's Men and he participated in the wanton destruction of the Shire by cutting down the trees beyond the Mill that shaded the road to Bywater.
After the Battle of Bywater on November 3, 3019, Frodo and Sam returned to Hobbiton with Merry Brandybuck and Pippin Took. They encountered Ted Sandyman at the New Mill. Ted laughed at their dismay at the destruction that had been done to Hobbiton, and he said that if they touched him he would report them to the Chief. When Merry told him that the Chief's Men had been defeated and that the Chief was about to be removed, Ted was shocked. He sounded a horn to raise the alarm, but Merry responded by sounding the Horn of the Mark, and Hobbits from all over Hobbiton responded.[3]
His fate afterwards is unknown.",
550,"Mid-,Third Age",,Male,,,Sangahyando,Men,,,"Sangahyando, like Angamaitë, was probably born in Umbar to an unnamed mother and father. As descendants of the rebel Castamir, they carried on the traditional hatred against Gondor. In TA 1634, when King Minardil was at Pelargir, spies of Sangahyando and Angamaitë told them about the king's visit to the city. They launched a surprise attack, killing the king and sacking the city. His ultimate fate is unknown.[1][2]",
551,SR 1308,SR 1407,Male,,,Saradas Brandybuck,Hobbits,,,"Saradas was the third son of Gorbadoc Brandybuck and Mirabella Took. His siblings were Rorimac (who was the grandfather of Merry), Amaranth, Dodinas, Asphodel, Dinodas, and Primula (who was the mother of Frodo Baggins).[1]
He was born on SR 1308 and had one son called Seredic Brandybuck, born on SR 1348. Saradas was present on Bilbo's Farewell Birthday Party and died on SR 1407 (TA 3007) at the age of 99.[1]",
552,SA 521,,Female,,,Silmariën,Men,,Elatan,"Silmariën was the oldest child of King Tar-Elendil. Her other siblings were Isilmë and Irimon. Women were not allowed to rule at the time of her father, so when Tar-Elendil relinquished the Sceptre, she was passed over for the throne in favor of her younger brother, Tar-Meneldur. After her marriage with Elatan, they had a son named Valandil who became the first Lord of Andúnië.[2]
Legacy[]
From her and her husband's lineage came the Kings of Gondor and Arnor living in exile in Middle-earth. She was one of the most significant members of Númenor's royal family, as she presumably inherited both the sword Narsil and the Ring of Barahir from Tar-Elendil, her father.[3] These heirlooms were then handed down to her descendants, the Lords of Andúnië and later the Kings of Gondor and Arnor. The royal jewel, the Elendilmir, included a fillet of mithril that had once belonged to Silmariën, survived the Fall of Númenor to become the royal circlet of Arnor, and survived into the Fourth Age[4]",
553,TA 570,TA 830,Male,,,Siriondil,Men,Gondor,Unnamed wife,"Siriondil became King of Gondor in TA 748 after the death of his father Atanatar I. He had two sons, Tarannon and Tarciryan. His reign was without notable events and probably peaceful. He ruled for eighty-two years and died in TA 830 at the age of two-hundred and sixty years of age and was succeeded by his son, Tarannon.[3]",
554,"Late ,Third Age",,Male,,,Robin Smallburrow,Hobbits,,,"Robin became Shirriff in TA 3012. Though having joined the Shirriffs earlier than Sharkey's occupation, when questioned by Samwise Gamgee on his role Robin replies that he only applied for the post of Shirriff as a means of wandering the Shire, talking with folks and ""knowing where the good beer was."" Like many Shirriffs during Sharkey's Scouring of the Shire, Robin Smallburrow is forced to continue service against his will as a part of the Shirriff's First Eastfarthing Troop in the town of Frogmorton. However, during the Hobbits uprising against their foreign oppressors, it is assumed that Smallburrow defects in order to help the hobbits.
After Sharkey's demise and the effort and work to return to norm within the Shire, very little is recorded of Smallburrow and his role or family within the Shire, though it is assumed that he, like the hobbits who lived at the start of the Fourth Age, enjoyed the years of plenty and prosperity that dawned over the Shire.
Angelo Montanini's depiction of Robin Smallburrow , used in the Middle-earth Collectible Card Game
He was likely good friends with Samwise Gamgee, as Sam would name his twelfth child, Robin Gamgee, after him.[1]
Robin Smallburrow in The Lord of the Rings: The Card Game, The Drowned Ruins Adventure Pack
",
555,SA 799,"Early ,Second Age",Male,,,Soronto,Men,,,"Before the change in Númenor's law that turned the order of succession into cognatic primogeniture, Soronto may have been presumptive heir to the throne. (J.R.R. Tolkien intended to write a story about Tar-Aldarion's daughter Tar-Ancalimë and her cousin Soronto, and how she married only to prevent Soronto from inheriting the throne.)[2]",
556,TA 2922,,Female,Dark,Tall,Morwen Steelsheen,Men,Rohan,Thengel,"Born in TA 2922 of the late-Third Age, Morwen Steelsheen was considerably taller than most of the Men in Middle-earth due to her Dúnedain heritage, a trait that was said to be inherited by a number of her descendants.[1] Morwen lived in Belfalas, of the Prince of Dol Amroth's kin,[2] she was called Steelsheen due to her beauty, grace and pride.[3] She later moved with her family to the flowery vales of Lossarnach. It was there she met Thengel, son of Fengel. Despite being 17 years his junior, Morwen loved him, and they married in TA 2943 and had five children, including Théoden and Théodwyn (mother of Éomer and Éowyn).
While living in Gondor for some time with her family, she moved to Rohan when Thengel became king and became the queen of her husband's country. It is likely Morwen outlived her husband after his death in TA 2980, as the people of Gondor tended to lead longer lives than the Rohirrim, particularly those of pure Dúnedain descent. Despite this, her date of death is not known.",
